 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
|        |              |               |           [833-849], |               |
|        |              |               |          [851-1116], |               |
|        |              |               |          [1118-1233] |               |
| 179476 |          232 |   7.395 (/pb) |     [1-16], [19-207] |   6.898 (/pb) |
| 179497 |          439 |  27.169 (/pb) | [86-116], [118-131], |  19.914 (/pb) |
|        |              |               |           [134-149], |               |
|        |              |               |           [151-274], |               |
|        |              |               |           [277-280], |               |
|        |              |               | [283-402], [405-433] |               |
| 179547 |          350 |  22.620 (/pb) | [75-156], [158-162], |  17.470 (/pb) |
|        |              |               | [164-262], [265-338] |               |
| 179558 |          142 |   9.389 (/pb) |     [1-52], [55-64], |   8.135 (/pb) |
|        |              |               |    [66-73], [75-134] |               |
| 179563 |         1192 |  63.044 (/pb) |  [1-440], [443-631], |  60.792 (/pb) |
|        |              |               |           [633-704], |               |
|        |              |               |           [707-722], |               |
|        |              |               |           [724-912], |               |
|        |              |               |           [915-968], |               |
|        |              |               |          [970-1085], |               |
|        |              |               |         [1087-1138], |               |
|        |              |               |          [1141-1186] |               |
| 179889 |          539 |  33.572 (/pb) |   [51-68], [70-139], |  30.943 (/pb) |
|        |              |               |           [142-448], |               |
|        |              |               |           [450-463], |               |
|        |              |               | [466-497], [500-534] |               |
| 179959 |          114 |   3.960 (/pb) |              [69-86] |   1.183 (/pb) |
| 179977 |          160 |   8.904 (/pb) |   [44-51], [53-114], |   6.302 (/pb) |
|        |              |               |            [116-136] |               |
| 180072 |          107 |   5.539 (/pb) |             [49-102] |   3.366 (/pb) |
| 180076 |          364 |  23.392 (/pb) |   [1-182], [184-356] |  21.553 (/pb) |
| 180093 |          353 |  18.781 (/pb) |  [1-260], [263-292], |  17.685 (/pb) |
|        |              |               |            [295-346] |               |
| 180241 |          444 |  26.834 (/pb) |    [55-74], [78-78], |  23.466 (/pb) |
|        |              |               | [80-252], [255-328], |               |
|        |              |               | [331-351], [353-416] |               |
| 180250 |          547 |  38.430 (/pb) |       [3-3], [6-82], |  35.832 (/pb) |
|        |              |               | [84-259], [262-426], |               |
|        |              |               |            [429-539] |               |
| 180252 |           93 |   5.330 (/pb) |     [1-40], [42-49], |   4.402 (/pb) |
|        |              |               |              [52-79] |               |

 ==  =  Total : 
| Delivered LS | Delivered(/fb) | Selected LS | Recorded(/fb) |
---------------------------------------------------------------
|        56709 |          2.770 |       49610 |         2.441 |

