 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |              L1bit |    Effective |
| 166784 |    [1-114], [119-276], |   6.529(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.529(/pb) |
|        |              [281-364] |              |             IsoL_v2(1) |                    |              |
| 166784 |    [1-114], [119-276], |   6.529(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 326.458(/nb) |
|        |              [281-364] |              |                  v2(1) |                    |              |
| 166787 |      [1-55], [60-127], |   6.068(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.068(/pb) |
|        |              [132-364] |              |             IsoL_v2(1) |                    |              |
| 166787 |      [1-55], [60-127], |   6.068(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 401.787(/nb) |
|        |              [132-364] |              |                  v2(1) |                    |              |
| 166839 |   [43-173], [178-297], |   5.254(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   5.254(/pb) |
|        |              [299-301] |              |             IsoL_v2(1) |                    |              |
| 166839 |   [43-173], [178-297], |   5.254(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 262.711(/nb) |
|        |              [299-301] |              |                  v2(1) |                    |              |
| 166841 |    [1-845], [851-876], |  20.021(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  20.021(/pb) |
|        |  [882-977], [984-984], |              |             IsoL_v2(1) |                    |              |
|        |  [988-992], [998-1015] |              |                        |                    |              |
| 166841 |    [1-845], [851-876], |  20.021(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.001(/pb) |
|        |  [882-977], [984-984], |              |                  v2(1) |                    |              |
|        |  [988-992], [998-1015] |              |                        |                    |              |
| 166842 |                [1-169] |   2.889(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.889(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166842 |                [1-169] |   2.889(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 190.883(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166859 |   [62-418], [421-421], |   8.592(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   8.592(/pb) |
|        |              [423-423] |              |             IsoL_v2(1) |                    |              |
| 166859 |   [62-418], [421-421], |   8.592(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 429.617(/nb) |
|        |              [423-423] |              |                  v2(1) |                    |              |
| 166860 |                 [1-20] | 404.801(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 404.786(/nb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166860 |                 [1-20] | 404.801(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  20.239(/nb) |
